"ID";"Non lematized text";"Nick";"URL";"Date";"Time"
0;"Сам сдавал Кодирующее устройство для ввода информации с клавиатуры          Дата сдачи: январь 2004         Автор реферата: Оносова Э. Й.         Оценка за реферат: 3         Кол-во страниц: 12           Понравилось:                   Масальская Н. Д.         Спальтер П. Н.         Дыргинчиус В. Ю.         Судейкин Г. Ч.         Колтин Т. Щ.                   Верхний Ландех - Красноселькуп - Коренево - Коптево - Великоустюгский - Завьялово - Зарайск - Дербентский - Верхнеуслонский - Дзержинский - Кагальницкая - Всеволожский - Ершовский - Красноярский - Архангельская - Ельники - Кировский - Выдрино - Кагальник - Касторенский - Давыдово - Афипский - Ашинский - Вольский - Городищенский - Кольцово - Итака - Горняцкий - Горин - Агрызский - Альшеевский - Краснохолм - Карата - Василеостровский адм. - Дедовск - Бирюсинск - Дубенский - Верх-Суетка - Верхняя Салда - Бавлинский - Кондратово - Володарск - Городец - Волжский - Дзержинское - Баянгол - Белая Глина - Красное Эхо - Гудермесский - Базарный Сызган - Краснохолмский - Инзер - Белоозёрский - Канадей - Кама - Калининград - Дейское - Калганский - Зарайский - Акнада - Городок - Ашинский - Волчихинский - Кировский - Курумкан - Бакал - Кыштовка - Баганский - Бежицкий - Кологривский - Герменчук - Кызбурун Первый - Крыловская - Комаричский - Агаповка -";"tigr74f";"http://tigr74f.livejournal.com/15746130.html";"23.01.2013";"14:08:00"
1;"Я очень скучаю по английским пабам и сидру. И тут выяснилось, что совсем рядом с нашими маршрутами в Хельсинки есть паб, где очень много английских и финских сидров и пива. Мы пошли на разведку :) Вот сюда -  Kaisla , Vilhonkatu 4.    Действительно, паб! Прекрасный бармен, который поболтал с нами о сидре и порекомендовал два сухих английских сидра. Вернее, меня он смерил взглядом и налил таки medium dry Scrumpy - но очень вкусный. А мужу дал прямо-таки музейный экземпляр - винтажный (!) extra-dry сидр Henry Westons.      Повсюду много приятных мелочей:    В одном углу шкаф с настольными играми:             По духу это настоящий паб. С сотней сортов напитков, с полумраком и кучей мелочей, которые можно рассматривать. Тихий, для долгого потягивания пива и разговоров. Без музыки и без курящих людей.  Половина списка сортов пива:    Ну, и поскромнее - всего 20 сортов сидра :)             Мы зашли в паб примерно в 20 часов. Прошлой едой был завтрак, так что мы интересовались не только сидром, но и едой. Ассортимент еды был таким - чипсы и сухие колбаски:    Спросили у бармена, в какое время открыта их кухня. Он ответил так: кажется, кухня у них есть. Но он работает по вечерам и при нем она ни разу не была открыта. Сидр был прекрасным, но это была печальная новость. Если бы в меню был хотя бы картофель фри, мы бы провели в пабе весь вечер.  Потому что выбор сидров был потрясающим.  Вот главная находка вечера - впервые видела винтажный сидр.  Винтажный  значит произведенный из урожая какого-то конкретного года - в нашем случае, 2011. Очень часто год сбора урожая известен для вина и мы можем что-то предполагать о возрасте вина и особенностях урожая в указанный год. На сидрах же год указывается довольно редко, это сразу привлекает внимание. А тут еще  oak aged  - то есть выдержанный в бочке. Это не случайный напиток. Сухой, с мощным приятным ароматом яблок, дерева, подветренных яблочных шкурок. Для ценителей.    Вот из таких как будто мелочей складывается английский паб.    PS Кстати, компания-изготовитель Henry Westons приглашает желающих на ферму в Херфордшире. Я желающий :)";"dobrokoshka";"http://dobrokoshka.livejournal.com/416165.html";"27.01.2013";"14:50:00"
2;"читая реакцию в ф-ленте на главное событие сегодняшнего дня, я тоже хочу кое-что сказать. кто-то злорадствует - вот оно, истинное лицо оппозиции: живодеры, мошенники, разбойники, педофилы, а теперь и убийцы... кто-то упорствует - это все кровавая гэбня... кто-то паникует - никому нельзя верить, все врут...  а я вспоминаю Плюшкину. 5 лет назад на форуме Литтлван разгорелся нешуточный скандал. некая мадам с ником Плюшкина писала о своей дочери, собирала ей деньги на лечение в Германии. была со всеми мила, так что деньги собирались хорошо, и не только деньги.но потом вдруг дочка  умерла . поток средств вперемешку с соболезнованиями удвоился. а потом мадам сообщила, что усыновила двух детей-инвалидов. деньги и восхищения обрушились на нее новым водопадом. но однажды Плюшкина прокололась буквально на мелочи. и вся ее ложь вскрылась в один момент. дочка слава богу была жива, никаких усыновленных детей не было. девочка и правда была больна, только документы все равно были поддельные (т.е. в том лечении, на которое собирались деньги, она не нуждалась). среди обманутых, кстати, была и журналистка Яся Танькова. как она потом  дула на воду  - я испытала на себе, когда организовывала помощь Косте.  для меня парралель с текущей ситуацией очевидна. и мне хочется вам сказать: не теряйте веры. подобные люди в сети были, есть и будут. к сожалению. но их все же очень и очень мало. и не стоит по ним делать вывод обо всех.   как не стоило и по одной фото делать вывод о миллионах людей...";"svetlana75";"http://svetlana75.livejournal.com/1889170.html";"13.01.2013";"2:19:00"
3;"По поводу тормозящего ЖЖ не отписал только ленивый. В адрес Ильи Дронова проклятия сыпятся уже неделю. Блогер  в новогоднем  поздравлении  Дронову, даже пообещал через выходы на акционеров СУПа, уволить главного по ЖЖ. Сообщение под катом, содержит нецензурную брань... Что скажете?";"nikitskij";"http://nikitskij.livejournal.com/166239.html";"02.01.2013";"13:55:00"
4;"Сегодня я не просто не помню, во сколько я легла. Я вообще не помню, как оказалась в кровати, без одежды и под двумя одеялами.  Проснулась в двенадцать от звонка начальника. Обрадовала фраза на тему  я знаю, ты это любишь  относительно работы по выходным. Ололо, моя репутация задрота всегда со мной. Правда люблю:)  Приняла информацию и следующие пять минут пыталась ответить самой себе на следующие вопросы:  0. Кто я. 1. Где я нахожусь. 2. Почему не открываются глаза. 3. Кто такой %username% 4. Что ему надо от нашего sql-сервера. 5. Что такое sql.  Как выяснилось, наш большой американский начальник пытается ломиться на sql по неверному dns-имени. С утра мои познания в английском языке не распространяются дальше  vodka, gorbachev, medved , однако худо-бедно накропать письмо получилось.  Они совсем не говорят по-русски (с) к\ф Кавказская пленница  Доброго мне утра, шоужтам. Пойду сбивать температуру. Болею я:(";"boot_from_cd";"http://boot-from-cd.livejournal.com/192756.html";"13.01.2013";"13:23:00"
5;"По наводке от cassini_79";"doktorbel";"http://doktorbel.livejournal.com/310639.html";"14.01.2013";"8:37:00"
6;"Власти в Германии расследуют обстоятельства происшествия, в ходе которого полуголый мужчина под воздействием наркотиков сумел пробраться на борт авиалайнера, которым пользуется канцлер Ангела Меркель, и устроил в нем протест, против принятия в России законов о запрете орального секса и онанизма .    Подозреваемый, 24-летний мужчина, одетый только в трусы с Надписью  Мизулина - пиз***лина, проник в пилотскую кабину, принялся нажимать на все кнопки, привел в действие аварийный трап и разбрызгал  пену  по сиденьям в салоне. Полиция безуспешно пыталась уговорить его покинуть самолет, обращаясь к нему в мегафон. На земле у самолета была найдена сумка с документами подозреваемого. Инцидент произошел в аэропорту Кельна еще 25 июля, но известно о нем стало только сейчас. О нем сообщила берлинская газета Welt am Sonntag, в распоряжение которой попали полицейские протоколы, относящиеся к происшествию. Разбушевавшегося нарушителя удалось унять только с помощью полицейской собаки, которая укусила его. Полиция сообщила, что задержанный по имени Волкан Т. отправлен в психиатрическую лечебницу. Он является культуристом-онанистом турецкого происхождения и до приводов в полицию не имел орального секса. :)))))))";"yurayakunin";"http://yurayakunin.livejournal.com/1269731.html";"22.08.2013";"1:19:00"
7;"Сейчас Навальный скажет, что Черногория лжет, ее купил Путин с дружками, и вся  смышленная  Россия возненавидит Черногорию. Страна - стукач!  Власти Черногории подтвердили факт регистрации компании Навального 22.08.2013, 19:29 |  Газета.Ru  Власти Черногории подтвердили факт регистрации компании оппозиционера и кандидата в мэры Москвы Алексея Навального, передает РИА  Новости . С подобным заявлением выступили представители налоговой администрации Черногории, отметив, что сайт их ведомства не был атакован хакерами.  Мы заявляем, что сайт центрального реестра коммерческих предприятий не был взломан и что, согласно нашим записям, Алексей Навальный был зарегистрирован как один из основателей MRD Company, зарегистрированной 20 ноября 2007 года ,   говорится в заявлении черногорского ведомства. Ранее сообщалось, что у Мосгоризбиркома нет информации о бизнесе Навального за границей. А вот на этом видео Навальный, отвечая на вопрос о бизнесе в Черногории, называет все это  нашистскими штучками  и  фальшаком .  Если вам лень смотреть видео - быстренько прочитайте стенограмму ответа Алексея Навального на вопрос о бизнесе в Черногории.Алексей Навальный:-  Пожалуйста, прокомментируйте ваш бизнес в Черногории . Мне на таких встречах периодически  Сейчас меня спрашивают про бизнес в Черногории, потом что вы знаете, они вчера сделали такую фальшивку про бизнес в Черногории. До этого меня спрашивали: прокомментируйте свою квартиру в Барселоне, прокомментируйте свой счет в Америке, прокомментируйте свою жену, которую вы отдали в сумасшедший дом. Ролики может видели такие в интернете? Стоят люди и говорят: да он там типа  у него ребенок от любовницы, а жену он отдал в сумасшедший дом. Но вот сегодня же были опубликованы данные, что вся эта ваша  нашистская  затея   это же полная фальшивка. Вы уже настолько уже не знаете, что мне предъявить, что уже там в фотошопе просто рисуете бумажки и подделываете реестры.  Моя жизнь   она, к счастью, достаточно прозрачна и понятна. Я   ну может это так пафосно прозвучит, извините меня, пожалуйста, - я никогда бы не пришел сюда и не полез на эту сцену, если я годами своей предыдущей работы не доказывал бы каждый день, что сам могу жить по тем принципам, которые требую от других. Поэтому люди финансируют мой фонд борьбы с коррупцией, потому что знают, как мы тратим деньги.Потому что все можно посмотреть: у кого какие зарплаты, кто чем занимается, какова эффективность каждого человека. Про меня известно, где я живу, с кем я живу, как я живу, какой у меня уровень жизни. Ради интереса поднимите, пожалуйста, руку те, кто видел фотографию моей жены. Спасибо. А кто видел фотографию жены Собянина? Ну пару раз ее показали последнее время.Я даже не говорю про то, что там выньте и положьте мне жену Собянина   дело не в этом, а дело в том, что когда люди занимаются публичной политикой, то горожане, которые дают им власть и деньги, требуют от них объяснений: кто твоя жена, занимается ли она плиткой, почему твои дочери покупают квартиры по 100 миллионов?Это нормальные резонные вопросы.Мне на такие вопросы легко отвечать, потому что я давно навел прозрачность в этой сфере.P.S. Товарищ, который преподает ораторское мастерство и искусство публичных выступлений, сейчас написал в личку:  Дмитрий, спасибо за стенограмму речи Навального. Забираю в копилку примеров:  как грамотно уйти от ответа . Обратите внимание: Алексей по сути не сказал прямо, что у нет бизнеса в Черногории  - он просто поговорил о другом. Сперва он ставит в один ряд с  неудобным  фактом ряд абсурдных вещей, а затем переводит разговор на Собянина и его жену. Хотя, на мой взгляд, могли бы и лучше подготовить его, чтобы не запинался - ведь знали, что прозвучит вопрос.  Здесь - про президентский кортеж Навального (точно на таком же передвигается президент Украины).";"dmitry_noskoff";"http://dmitry-noskoff.livejournal.com/183891.html";"22.08.2013";"21:20:00"
8;"Раскрутку своего сайта можно начать с регистрации в 12000 каталогах и контекстной рекламы aboutforex4u.blogspot.com это позволит Вашему сайту подняться в поисковиках. Текстовая объявления или контекстная реклама показывается в результатах поиска на Яндаксе,Рамблере, Апорте и других поисковиках.";"serg_was";"http://serg-was.livejournal.com/645056.html";"22.08.2013";"14:55:00"
9;"Запись опубликована Nstarikov. You can comment here or there.Поскольку в 2013 году в эфире какого-либо СМИ у меня не было возможности обсудить тот спектакль, под названием «путч», который разыграл в августе 1991 года Горбачев со своим окружением, я решил еще раз разместить эфир программы «Профилактика» двухлетней давности. И факты, и моя позиция за это время остались неизменными. В августе 1991 года никакого путча не было.   Скачать аудиозапись";"nstarikov";"http://nstarikov.livejournal.com/1119055.html";"20.08.2013";"6:00:00"
