"ID";"lematized text";"Nick";"URL";"Date";"Time";
"0";"сдавать кодировать устройство ввод информация клавиатура дат сдача январь автор реферат оносова оценка реферат страница понравиться масальская спальтер дыргинчиус судейкин колтин верхний ландех красноселькуп коренево коптево великоустюгский завьялово зарайск дербентский верхнеуслонский дзержинский кагальницкая всеволожский ершовский красноярский архангельский ельник кировский выдрино кагальник касторенский давыдово афипский ашинский вольский городищенский кольцово итака горняцкий горин агрызский альшеевский краснохолм карат василеостровский адм дедовск бирюсинск дубенский суетка верхний салда бавлинский кондратово володарск городец волжский дзержинский баянгол белая глина красное эхо гудермесский базарный сызган краснохолмский инзер белоозерский канадей калининград дейское калганский зарайский акнада городец ашинский волчихинский кировский курумкан бакал кыштовка баганский бежицкий кологривский герменчук кызбурун крыловская комаричский агаповка ";"tigr74f";"http://tigr74f.livejournal.com/15746130.html";"23.01.2013";"14:08:00";
"1";"скучать английский паб сидр выясняться ряд маршрут хельсинки паб английский финский сидр пиво пойти разведка сюда kaisla vilhonkatu паб прекрасный бармен поболтать сидр порекомендовать сухая английский сидр смерить взгляд наливать medium dry scrumpy вкусный муж прямо-таки музейный экземпляр винтажный extra dry сидр westons повсюду приятный мелочь угол шкаф настольный игра дух паб сотня сорт напиток мелочь рассматривать тихий потягивание пиво разговор музыка курить список сорт пиво скромный сорт сидр засылать паб примерно час прошлый еда завтрак интересоваться сидр еда ассортимент еда чипсы сухая колбаска спрашивать бармен время открывать кухня отвечать кухня работать вечер открывать сидр прекрасный печальный новость картофель фри проводить паб вечер выбор сидр потрясать находка вечер винтажный сидр винтажный производить урожай конкретный случай сбор урожай известный предполагать возраст особенность урожай указанный сидр указываться редкий привлекать внимание oak aged выдержанный бочка случайный напиток сухая мощный приятный аромат яблоко дерево подветренный яблочный шкурка ценитель мелочь складываться английский паб компания изготовитель westons приглашать желать ферм херфордшире желать ";"dobrokoshka";"http://dobrokoshka.livejournal.com/416165.html";"27.01.2013";"14:50:00";
"2";"читать реакция лента событие сегодняшний день злорадствовать истинный оппозиция живодер мошенник разбойник педофил убийца упорствовать кровавый гэбня паниковать врать вспоминать плюшкину форум литтлван разгораться нешуточный скандал некать мадам ник плюшкину писать дочь собирать деньга лечение германий мил деньга собираться хороший деньга дочка умирать средства вперемешку соболезнование удваиваться мадам сообщать усыновлять дитя инвалид деньга восхищение обрушиваться водопад плюшкину прокалываться мелочь ложь вскрываться момент дочка слав бог живой усыновлять дитя девочка правда документ поддельный лечение собираться деньга нуждаться обманывать журналистка ясь танькова дуло испытывать организовывать парралель текущий ситуация очевидный хотеться терять сожаление маленький стоить вывод стоить фото вывод миллион ";"svetlana75";"http://svetlana75.livejournal.com/1889170.html";"13.01.2013";"2:19:00";
"3";"повод тормозить отписывать ленивый адрес илья дронов проклятие сыпаться неделя блогер новогодний поздравление дронов пообещать выход акционер суп увольнять сообщение содержать нецензурный брань ";"nikitskij";"http://nikitskij.livejournal.com/166239.html";"02.01.2013";"13:55:00";
"4";"помнить ложиться помнить кровать одежда одежда просыпаться двенадцать звонкий начальник обрадовать фраза любить работа выходной ололо репутация задрота правда любить принимать информация следовать пятить минута пытаться отвечать следовать вопрос находиться открываться глаз username sql сервер sql выясняться американский начальник пытаться ломиться sql dns имя утро познание английский язык распространяться далекий vodka gorbachev medium худо-бедно накропать писать получаться по-русски кавказский пленница добрый утро шоужтам пойти сбивать температура ";"boot_from_cd";"http://boot-from-cd.livejournal.com/192756.html";"13.01.2013";"13:23:00";
"5";"наводка cassini ";"doktorbel";"http://doktorbel.livejournal.com/310639.html";"14.01.2013";"8:37:00";
"6";"власть германий расследовать обстоятельство происшествие ход полуголый мужчина воздействие наркотик суметь пробираться борт авиалайнер пользоваться канцлер ангел меркель устраивать протест принятие россия закон запирать оральный онанизм подозреваемый летний мужчина одевать трус надпись мизулин пиво лин проникать пилотский кабина приниматься нажимать кнопка приводить действие аварийный трус разбрызгивать пена сидение салда полиция пытаться уговаривать покидать самолет обращаться мегафон земля самолет находить сумка документ подозреваемый инцидент аэропорт кельн июль сообщать берлинский газета sonntag распоряжение попадать полицейский протокол происшествие разбушеваться нарушитель удаваться унимать полицейский собака укусить полиция сообщать задержанный имя волкан отправлять психиатрический лечебница культурист онанизм турецкий происхождение полиция оральный ";"yurayakunin";"http://yurayakunin.livejournal.com/1269731.html";"22.08.2013";"1:19:00";
"7";"навальный черногория лгать купить смышленная россия возненавидеть черногория страна стукач власть черногория подтвердить факт регистрация компания навальный газета власть черногория подтвердить факт регистрация компания оппозиционер кандидат мэр москва алексей навальный передавать риа новость заявление выступать представитель налоговый администрация черногория отмечать ведомство атаковать хакер заявлять центральный реестр коммерческий предприятие взламывать запись алексей навальный зарегистрировать основатель mrd company зарегистрировать ноябрь говориться заявление черногорский ведомство ранее сообщаться мосгоризбиркома информация бизнес навальный граница навальный отвечать вопрос бизнес черногория называть нашистскими штучка фальшаком лень быстренько прочитывать стенограмма ответ алексей навальный вопрос бизнес черногория алексей навальный прокомментировать бизнес черногория встреча периодически спрашивать бизнес черногория фальшаком бизнес черногория спрашивать прокомментировать квартира барселона прокомментировать счет америка прокомментировать жена отдавать сумасшедший дом ролик интернет стоить тип ребенок любовница жена отдавать сумасшедший дом опубликовывать нашистская полный фальшаком предъявлять фотошоп рисовать бумажка подделывать реестр жизнь счастие достаточно прозрачный понятный пафосный прозвучать извинять сюда полезть сцена предыдущий работа доказывать жить принцип требовать финансировать фото борьба коррупция тратить деньга посмотреть зарплата заниматься эффективность жить жить жить уровень жизнь интерес подымать рука фотография жена фотография жена собянин паб показывать время вынимать жена собянин заниматься публичный политика горожанин власть деньга требовать объяснение жена заниматься плитка дочь покупать квартира миллион нормальный резонный вопрос вопрос легкий отвечать наводить прозрачность сфера товарищ преподавать ораторский мастерство искусство публичный выступление написать личка дмитрий стенограмма речь навальный забирать копилка грамотно уходить ответ обращать внимание алексей бизнес черногория поговорить друг сперва ставить ряд неудобный факт ряд абсурдный вещий переводить разговор собянин жена взгляд хороший подготавливать запинаться прозвучать вопрос президентский навальный передвигаться президент украина ";"dmitry_noskoff";"http://dmitry-noskoff.livejournal.com/183891.html";"22.08.2013";"21:20:00";
"8";"раскрутка регистрация каталог контекстный реклама blogspot подниматься поисковик текстовой объявление контекстный реклама показываться результат поиск яндаксе рамблер апорт поисковик ";"serg_was";"http://serg-was.livejournal.com/645056.html";"22.08.2013";"14:55:00";
"9";"запись опубликовывать nstarikov эфир сми возможность обсуждать спектакль название путч разыгрывать август горбачев окружение решать размещать эфир программа профилактика двухлетний давность факт позиция время неизменный август путч скачивать аудиозапись ";"nstarikov";"http://nstarikov.livejournal.com/1119055.html";"20.08.2013";"6:00:00";
